Year,Reporter Code,Commodity Code,Netweight (kg),trend,trend norm
1999,BEL,1701,999308581,,
2000,BEL,1701,1494459975,1.495493988,0.3989038147
2001,BEL,1701,1251335343,0.8373160633,-0.2167640629
2002,BEL,1701,1117341388,0.8929192276,-0.1647521663
2003,BEL,1701,1180529966,1.056552616,-0.01168744489
2004,BEL,1701,1060515048,0.8983381011,-0.1596832841
2005,BEL,1701,1687574727,1.591278436,0.4885017876
2006,BEL,1701,1677125491,0.9938081343,-0.07037941883
2007,BEL,1701,541179042,0.3226824975,-0.6981587487
2008,BEL,1701,621747518,1.148875824,0.07467284139
2009,BEL,1701,546412781,0.8788338758,-0.1779277809
2010,BEL,1701,805564993,1.474279192,0.3790592283
2011,BEL,1701,575597328,0.7145262431,-0.3316231993
2012,BEL,1701,737558734,1.281379704,0.198618631
2013,BEL,1701,571878318,0.7753664781,-0.2747124811
2014,BEL,1701,553430365,0.9677414715,-0.09476250183
2015,BEL,1701,623239291,1.12613859,0.05340414764
2016,BEL,1701,559463758,0.8976708723,-0.1603074183
2017,BEL,1701,835971284,1.494236708,0.3977277393