year,country code,comm,export amount,trend,trend normal
1995,CIV,1701,10887277,,
1996,CIV,1701,27548312,2.530321585,-0.4387998434
1997,CIV,1701,40426208,1.467465883,-0.6745306651
1998,CIV,1701,11138044,0.275515428,-0.9388934188
1999,CIV,1701,24231608,2.175571222,-0.517479945
2000,CIV,1701,66763610,2.755228213,-0.3889177908
2001,CIV,1701,51451238,0.7706479323,-0.8290779548
2002,CIV,1701,18082263,0.351444663,-0.9220530698
2003,CIV,1701,29746608,1.645071084,-0.6351395983
2004,CIV,1701,26055109,0.8759018507,-0.8057336828
2005,CIV,1701,27764158,1.065593623,-0.7636619347
2006,CIV,1701,1515730,0.05459304763,-0.9878918051
2007,CIV,1701,78793,0.05198353269,-0.9884705696
2008,CIV,1701,5333325,67.68780222,14.01248119
2009,CIV,1701,6079376,1.139884781,-0.7471848949
2010,CIV,1701,5071526,0.8342181829,-0.8149787056
2011,CIV,1701,5162547,1.017947458,-0.7742293801
2012,CIV,1701,16933322,3.280032511,-0.272521418
2013,CIV,1701,12266552,0.724403162,-0.8393345849
2014,CIV,1701,17968331,1.464823285,-0.675116767
2015,CIV,1701,124345,0.006920230933,-0.9984651616